id,top_tier_site,site_parent_name,site_name,geo_waterbody
03c3014d0425ae2d37e5960ee9f2c58f,Welland Catchment,Above Tinwell,D/S Harringworth Road Bridge,GB105031050580
03c89ca394f1c2fa530e0c64bea07247,Thames,River Cherwell,Trafford Bridge,GB106039037350
03d05ef18da9a71a4cd941e8628e8476,RIVER TRENT,RIVER PENK,Pendeford Nature Reserve,GB104028046680
03d8c920b2cba341f293292c6231e177,Thames,TWARP reaches of the Thames,Sandford - Abingdon - (Margin),GB106039030334
03db9909dfdabb8516721b59c50db1ca,Bristol Avon Catchment,North Wraxall Brook,Wraxall Park Middle,GB109053027460
03e1dd7386c6dad09a733a7947ecc8ba,River Eden,Roe Beck,2337.00 At back of Roe House,GB102076073750
03e893c3ce7e601eb569666936acb71e,River Coquet,Wreigh Burn,Wreigh Burn at Netherton Burnfoot,GB103022076750
03e8f3a934ab513c9f96a78616209bc6,River Lune,Barbon Beck,D/S A683 Bridge,GB112072071700
03f0444978a5be6e20f2fed1a3c527a8,Lower Ouse,D/s Lark,Riverside Cottage Mildenhall,GB105033043052
03f58dfa6ad898837af21827bebcb39c,Upper Ouse,Ouzel,Billington,GB105033030510
03fc901704f0dace3d5cbae88ad57da8,Upper Ouse,Great Ouse (Brackley to Newport Pagnell),Whitfield,GB105033037880
03fd8d7b9d032e165a176e49f130bc7f,Lynher,Main Tiddy Brook,Treweatha,GB108047003890
03fe9350c00a44a507e8402e0e3340a8,River Severn,Afon Vyrnwy,Trewylan Isaf-Lake 2,GB109054050050
040246ea9576471028050da20908937b,River Tees,River Tees,"Temporal Coarse, Blackwell Bridge",GB103025072190
040c5c68a71a7f1727cb529a112aacfe,River Severn,River Unk,Cefn Einon,GB109054044040
041609169232fb312a73ed2bcb34d0ff,Cam Catchment,Granta,Babraham (I.A.P),GB105033037810
041c49955f22d333d61eeed2b662ba05,Witham Catchment,R.Slea,Bypass Bridge,GB105030056670
041e377ce80405439b59c68a700ffd76,Strat & Neet,Whitstone Stream,Langford Bridge,GB108049007250
04204968df48a003d3a7353df320576c,Colne,Wraysbury River,Harmondsworth Moor,GB106039023090
04270f30f3b95c36c9f364b83c0f5ee3,River Severn,River Cam,Cambridge d/s gauging weir,GB109054032540
042a5d4daf55d74219164442a4bd00bf,River Wyre,Tarnbrook Wyre,50m U/S Mountain Rescue Post,GB112072066240
042c28766c361520e1f9fed02d10e465,River Irt,Kid Beck,"1820.00 Kidbeck Farm, Kid Beck",GB112074070100
0433be2b93d3c007e6010ffe0ccec90b,Western Streams,Bosham Stream,Southbrook Farm,GB107041012350
0435a27de20a1a8ded403f1255814b64,Wye,Arrow,"Mill House, upstream of Kington",GB109055036620
0437240b8f40670aa1429193cb631315,Somerset Area,Wriggle River,Manor Farm,GB108052015540
043cca4dd66e590975928f0e558c999e,Middle Ouse,Great Ouse (Bedford to Brampton),Cardington Navigation,GB105033047923
043d7b4320f630c349f7306a37fbbaac,River Eden,Caldbeck,"2332.00 Whelpo, Park End Beck",GB102076073740
0451768bdf2ceda016fd4568e21a9d7f,Hull and Humber Catchment,Watton Beck,Confluence with the River Hull,GB104026066980
0453a7f928fb1acafcce2d8b27352d5f,TRENT,LEEN,Bobbers Mill,""
0454dbf766a9137379925db8352b1af9,Wye,River Dore,Abbey Dore Court,GB109055036870
0455fa6679dbf9941ae58f2fb33e1a2b,Border Esk,Liddel Water,"2163.00 Peel Burn, Myredykes",GB103023075250
0456f3b048422fcc3e525ecf7af17cf0,Tavy,Main Walkham,u/s Greenaballs,GB108047007870
045a6ee39bbf0454f9cd701b0b2b9aba,Witham Catchment,R.Slea,Terry Booths Farm,GB105030056710
045a87724df746223f0aeb0466d0b4a7,River Severn,Ell Brook,Gorsley,GB109054032520
045f478f052449ed7e0129fb5aa33d13,South Lakes Minor Catchments,River Winster,890.00 R. Winster Slate Hill,GB112073071440
04646171e77828043d7179ce2d5b1844,Middle Level System,River Nene (Old Course),Badgeney Pumping Station,""
0467795d4ff99d8a6112b0348cd6f8ff,River Wyre,River Wyre,D/S Six Arches Caravan Site,GB112072065821
046c023a21d1c3805edae135dc4783ff,Thames,River Windrush,Sherborne control,GB106039030440
046ed9103b1d7c48a0b73683a68bcfc2,Bure catchment,Blackwater (Bure),Nethergate,GB105034055690
0471b630d896954ec2c8f77fdafd1b61,Somerset Area,Main River Isle,Midelney,GB108052015250
04731d27feeaa75b56114ad66bfb9570,River Derwent (Yorkshire),Yedingham (Straightened Derwent project),Net 12,""
0474b844cdb6dcb7ac6c3d0ac6dc1ea5,Witham Catchment,Steeping FMU,U/S Bycrofts Bridge,GB105030062430
04788e794d829e92c5a6408397ebfac1,River Don catchment,Ewden Beck,d/s Dupont Abstraction,GB104027057400
048145948f1b8f48ccc8b3b9ff1a2c1e,River Derwent (Yorkshire) tributaries,Dalby/Thornton Beck,Thornton Beck DS STW bridge,""
048dee5c189e3d975e7e6c61bcf54117,River Wear,Middlehope Burn,Middlehope Burn at Old Mine,GB103024077480
